actor,n_train,n_test,accuracy,macro_f1,precision,recall,feature_group
01,353,73,0.2465753424657534,0.20038416521936117,0.35824592074592077,0.23948863636363638,MFCC Only
03,351,75,0.52,0.46938898971566845,0.6443371212121212,0.48741883116883117,MFCC Only
05,347,79,0.4810126582278481,0.3964576477444124,0.4728422619047619,0.40528846153846154,MFCC Only
07,350,76,0.35526315789473684,0.27501473063973064,0.34940978736710443,0.29971590909090906,MFCC Only
09,364,62,0.2903225806451613,0.26971678634985086,0.38816137566137565,0.328125,MFCC Only
11,365,61,0.3442622950819672,0.28106060606060607,0.4089285714285714,0.3263888888888889,MFCC Only
01,353,73,0.4246575342465753,0.30906362156362155,0.28007703081232493,0.3584280303030303,Prosody Only
03,351,75,0.28,0.20474679224679226,0.22683566433566435,0.23193993506493507,Prosody Only
05,347,79,0.3670886075949367,0.25322420634920634,0.3909090909090909,0.27620192307692304,Prosody Only
07,350,76,0.27631578947368424,0.19934602130325813,0.1994212962962963,0.24158653846153844,Prosody Only
09,364,62,0.27419354838709675,0.18864621320226202,0.2253472222222222,0.2534722222222222,Prosody Only
11,365,61,0.3442622950819672,0.2226602009999785,0.17301864801864802,0.3246527777777778,Prosody Only
01,353,73,0.136986301369863,0.09723320158102768,0.11979166666666667,0.12121212121212122,Voice Quality Only
03,351,75,0.24,0.1669642857142857,0.15629464285714284,0.2015016233766234,Voice Quality Only
05,347,79,0.31645569620253167,0.23654755853031717,0.28537215099715096,0.2608173076923077,Voice Quality Only
07,350,76,0.2236842105263158,0.16522665842222295,0.16010061919504642,0.18396707459207462,Voice Quality Only
09,364,62,0.2903225806451613,0.26402597402597405,0.2853641456582633,0.2743055555555556,Voice Quality Only
11,365,61,0.21311475409836064,0.1567618755118755,0.1590683023872679,0.19444444444444445,Voice Quality Only
01,353,73,0.2328767123287671,0.18444465552178316,0.2622863247863248,0.21325757575757576,All Features
03,351,75,0.48,0.41484604105571843,0.48744454075336424,0.44906655844155846,All Features
05,347,79,0.4810126582278481,0.3768843383621002,0.445436507936508,0.3950721153846154,All Features
07,350,76,0.39473684210526316,0.2989819004524887,0.30450766338924234,0.34611742424242425,All Features
09,364,62,0.45161290322580644,0.4417010073260073,0.5395698051948052,0.44791666666666663,All Features
11,365,61,0.3770491803278688,0.29639265962795375,0.3673202614379085,0.35416666666666663,All Features
